,Calamagrostis.langsdorMatureFii,Festuca.ovina,Tanacetum.bippinatum,Hieraciun.umbellatum,Betula.tortuosa,Betula.nana,Rumex.graminifolius,Larix.sibirica,Solidago.virgaurea,Salix.viminalis,Salix.triandra ,Pinus.sibirica,Pinus.sylvestris,Cladonia.stellaris,Polytrichum.strictum,Empetrum.nigrum.L,Vaccinium.uliginosum.L,Arctous.uva.ursi.L.Spreng,Arctous.alpina.L.Nied,Ledum.palustre.L,Vaccinium.vitus.idaea.L,Parmelia.sulcata.Taylor,Polytrichum.juniperinum.Hedw.,Drepanocladus,Alectoria.ochroleuca,Flavocetraria.nivalis,Flavocetraria.cucullata,Cladonia.rangiferina,Cladonia.alpina,Antennaria.dioica,Picea.obovata,Vaccinium.myrtillus,Carex globularis ,Eriophorum angustifolium ,Eriophorum vaginatum ,Carex rotundata,Carex vesicaria,Chamaenerion angustifolium ,Andromeda polifolia ,Chamaedaphne calyculata ,Menyanthes trifoliata ,Sagittaria sagittifolia ,Equisetum arvense ,Rubus chamaemorus ,Cetraria islandica ,Pleurozium Mitt. schreberi ,Sphagnum,Fictitious.species
LeeSlo2,25,15,5,0,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LeeSlo3,18,12,5,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LeeSlo4,22,16,7,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LeeSlo5,20,5,0,5,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LeeSlo6,10,5,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LeeSlo7,12,7,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LeeSlo8,18,9,8,0,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LeeSlo9,10,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LeeSlo10,15,5,0,2,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
InterLow1,2,7,0,0,0,0,1,0,0,0,0,2,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
InterLow2,0,5,0,0,0,0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
InterLow3,0,4,0,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
InterLow4,3,5,0,1,0,0,0,0,0,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
InterLow5,0,10,0,1,0,0,2,1,0,0,0,1,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
InterLow6,0,5,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
InterLow7,0,0,0,0,0,0,1,1,0,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
InterLow8,0,2,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
InterLow9,2,3,0,1,0,0,1,1,0,0,0,0,0,5,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
InterLow10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WindSlo1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WindSlo2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WindSlo3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WindSlo4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WindSlo5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WindSlo6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WindSlo7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WindSlo8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WindSlo9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WindSlo10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
YoungF1,1,10,4,1,1,0,0,1,1,0,0,1,5,5,50,1,0,0,0,0,1,5,5,1,2,0,2,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
YoungF2,5,15,0,0,5,0,0,15,0,0,0,0,15,15,70,5,0,2,2,5,5,1,5,1,2,5,5,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
YoungF3,11,15,2,2,5,0,1,0,0,0,0,5,2,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
YoungF4,0,2,0,0,15,0,0,5,1,0,0,1,10,5,90,0,0,10,5,0,0,0,25,0,0,5,5,10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
YoungF5,1,8,0,0,2,0,0,7,0,5,0,2,15,15,60,5,5,5,5,0,7,0,15,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
YoungF6,1,5,0,1,1,0,0,15,1,0,0,1,15,10,35,0,0,5,0,5,5,5,15,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
YoungF7,5,2,0,0,12,0,0,5,0,0,0,0,12,10,40,2,2,0,5,0,0,2,5,0,1,5,5,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
YoungF8,2,0,0,0,5,0,0,10,0,0,0,2,15,20,60,5,1,0,0,2,1,1,0,0,0,0,0,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
YoungF9,0,5,0,1,7,0,0,7,0,0,0,4,10,0,80,10,0,5,2,0,4,0,5,0,0,5,5,15,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
YoungF10,0,2,0,0,10,0,0,12,0,0,0,5,15,2,75,5,0,5,2,0,3,0,5,1,0,7,5,10,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MatureF1,0,1,0,0,5,0,0,5,0,0,0,10,25,1,2,15,30,5,5,10,15,2,0,0,5,15,15,15,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MatureF2,1,0,1,0,7,0,0,15,0,0,0,15,30,2,5,15,30,2,0,35,18,5,0,2,5,15,10,10,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MatureF3,0,1,0,1,5,0,0,5,0,0,0,15,15,2,15,14,2,9,15,1,14,3,0,0,8,20,5,10,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MatureF4,0,1,0,0,12,0,0,5,0,0,0,18,20,10,12,5,2,7,5,8,20,5,5,10,7,15,7,12,40,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MatureF5,0,0,1,0,7,0,0,5,0,0,0,12,25,5,12,5,8,10,10,10,5,3,0,0,6,25,12,15,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MatureF6,0,1,0,0,5,0,0,5,0,0,0,15,24,2,7,15,5,4,12,12,0,5,0,5,5,35,10,18,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MatureF7,0,0,0,0,5,0,0,10,0,0,0,15,28,5,15,10,2,8,5,10,10,0,0,0,10,31,8,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MatureF8,1,0,0,1,15,0,0,15,0,0,0,12,25,2,10,15,35,2,0,30,15,0,2,1,2,15,8,10,10,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MatureF9,0,0,1,0,2,0,0,20,0,0,0,10,15,5,5,25,25,2,0,15,8,5,5,0,5,18,5,12,15,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MatureF10,0,1,0,0,7,0,0,10,0,0,0,10,15,1,5,5,1,15,0,5,15,2,10,5,5,20,15,15,42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ClimaxF1,0,5,0,0,30,15,0,50,5,0,5,35,65,10,10,10,15,15,5,40,25,5,35,0,10,0,5,10,15,0,2,5,0,0,3,1,0,0,5,0,0,2,0,0,10,0,50,1
ClimaxF2,0,2,0,0,35,10,0,42,2,0,0,30,42,15,15,5,12,10,10,45,20,10,20,0,0,2,0,15,20,0,5,10,0,2,0,0,0,0,2,0,0,0,1,0,5,5,60,1
ClimaxF3,1,1,0,0,20,7,0,35,0,5,0,35,51,10,12,12,10,5,7,25,15,15,40,1,5,0,5,2,20,0,2,12,1,0,0,0,0,2,0,2,0,5,0,0,2,10,55,1
ClimaxF4,0,0,0,0,15,12,0,25,1,0,0,25,53,12,8,10,5,0,5,15,0,7,15,0,4,5,2,5,15,0,3,8,0,3,0,0,0,0,7,0,5,0,0,5,5,0,45,1
ClimaxF5,5,5,0,0,12,16,0,34,0,0,0,20,55,0,0,15,15,1,0,12,10,5,10,0,0,10,0,10,10,0,5,5,0,0,0,0,3,0,0,0,0,0,0,0,10,5,75,1
ClimaxF6,0,0,0,0,10,13,0,44,0,1,1,26,40,8,0,15,10,15,0,10,5,0,25,0,0,0,5,5,15,0,7,0,3,0,0,0,0,0,1,0,0,0,0,0,0,10,80,1
ClimaxF7,0,0,0,0,20,5,0,47,0,0,0,31,60,15,10,0,0,0,0,5,5,5,10,0,0,0,0,5,10,0,0,0,0,1,0,1,0,0,0,0,1,5,5,0,0,0,44,1
ClimaxF8,0,0,0,0,25,0,0,15,5,0,5,30,51,0,0,0,8,10,5,35,12,2,5,0,2,0,0,0,5,0,5,5,0,0,1,0,1,0,0,5,0,0,0,1,10,5,40,1
ClimaxF9,0,5,0,0,30,7,0,25,0,0,0,20,42,10,5,5,15,0,0,40,15,0,15,1,0,5,5,5,10,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,35,1
ClimaxF10,1,0,0,0,35,0,0,20,0,0,0,25,20,10,0,15,0,0,0,42,0,5,12,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,5,0,5,0,2,0,0,0,30,1
